mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind
steering,competence,low_competence_t003_s00031,3,low_competence,0,random_041,-0.05,5.53125,27.53125,competence,,random,041,denoised
steering,competence,low_competence_t008_s00051,8,low_competence,0,random_041,-0.05,1.8125,24.5,competence,,random,041,denoised
steering,competence,low_competence_t035_s00095,35,low_competence,0,random_041,-0.05,6.1875,27.1875,competence,,random,041,denoised
steering,competence,low_competence_t056_s00131,56,low_competence,0,random_041,-0.05,7.78125,29.96875,competence,,random,041,denoised
steering,competence,low_competence_t057_s00135,57,low_competence,0,random_041,-0.05,8.71875,30.34375,competence,,random,041,denoised
steering,competence,low_competence_t066_s00143,66,low_competence,0,random_041,-0.05,5.5,26.96875,competence,,random,041,denoised
steering,competence,low_competence_t078_s00167,78,low_competence,0,random_041,-0.05,5.59375,26.34375,competence,,random,041,denoised
steering,competence,low_competence_t079_s00171,79,low_competence,0,random_041,-0.05,4.5,26.1875,competence,,random,041,denoised
steering,competence,low_competence_t097_s00199,97,low_competence,0,random_041,-0.05,6.75,28.375,competence,,random,041,denoised
steering,competence,high_competence_t019_s00006,19,high_competence,1,random_041,0.0,21.5,0.0,competence,,random,041,denoised
steering,competence,high_competence_t003_s00030,3,high_competence,1,random_041,0.0,21.4375,0.0,competence,,random,041,denoised
steering,competence,high_competence_t008_s00050,8,high_competence,1,random_041,0.0,20.625,0.0,competence,,random,041,denoised
steering,competence,high_competence_t035_s00094,35,high_competence,1,random_041,0.0,21.0,0.0,competence,,random,041,denoised
steering,competence,high_competence_t056_s00130,56,high_competence,1,random_041,0.0,20.5,0.0,competence,,random,041,denoised
steering,competence,high_competence_t057_s00134,57,high_competence,1,random_041,0.0,21.6875,0.0,competence,,random,041,denoised
steering,competence,high_competence_t066_s00142,66,high_competence,1,random_041,0.0,20.8125,0.0,competence,,random,041,denoised
steering,competence,high_competence_t078_s00166,78,high_competence,1,random_041,0.0,21.1875,0.0,competence,,random,041,denoised
steering,competence,high_competence_t079_s00170,79,high_competence,1,random_041,0.0,21.4375,0.0,competence,,random,041,denoised
steering,competence,high_competence_t097_s00198,97,high_competence,1,random_041,0.0,20.0625,0.0,competence,,random,041,denoised
steering,competence,low_competence_t019_s00007,19,low_competence,0,random_041,0.0,-23.125,0.0,competence,,random,041,denoised
steering,competence,low_competence_t003_s00031,3,low_competence,0,random_041,0.0,-22.0,0.0,competence,,random,041,denoised
steering,competence,low_competence_t008_s00051,8,low_competence,0,random_041,0.0,-22.6875,0.0,competence,,random,041,denoised
steering,competence,low_competence_t035_s00095,35,low_competence,0,random_041,0.0,-21.0,0.0,competence,,random,041,denoised
steering,competence,low_competence_t056_s00131,56,low_competence,0,random_041,0.0,-22.1875,0.0,competence,,random,041,denoised
steering,competence,low_competence_t057_s00135,57,low_competence,0,random_041,0.0,-21.625,0.0,competence,,random,041,denoised
steering,competence,low_competence_t066_s00143,66,low_competence,0,random_041,0.0,-21.46875,0.0,competence,,random,041,denoised
steering,competence,low_competence_t078_s00167,78,low_competence,0,random_041,0.0,-20.75,0.0,competence,,random,041,denoised
steering,competence,low_competence_t079_s00171,79,low_competence,0,random_041,0.0,-21.6875,0.0,competence,,random,041,denoised
steering,competence,low_competence_t097_s00199,97,low_competence,0,random_041,0.0,-21.625,0.0,competence,,random,041,denoised
steering,competence,high_competence_t019_s00006,19,high_competence,1,random_041,0.05,-3.8505859375,-25.3505859375,competence,,random,041,denoised
steering,competence,high_competence_t003_s00030,3,high_competence,1,random_041,0.05,-2.453125,-23.890625,competence,,random,041,denoised
steering,competence,high_competence_t008_s00050,8,high_competence,1,random_041,0.05,-3.0078125,-23.6328125,competence,,random,041,denoised
steering,competence,high_competence_t035_s00094,35,high_competence,1,random_041,0.05,-4.171875,-25.171875,competence,,random,041,denoised
steering,competence,high_competence_t056_s00130,56,high_competence,1,random_041,0.05,-3.40625,-23.90625,competence,,random,041,denoised
steering,competence,high_competence_t057_s00134,57,high_competence,1,random_041,0.05,-2.984375,-24.671875,competence,,random,041,denoised
steering,competence,high_competence_t066_s00142,66,high_competence,1,random_041,0.05,-1.0859375,-21.8984375,competence,,random,041,denoised
steering,competence,high_competence_t078_s00166,78,high_competence,1,random_041,0.05,-3.2265625,-24.4140625,competence,,random,041,denoised
steering,competence,high_competence_t079_s00170,79,high_competence,1,random_041,0.05,-3.86328125,-25.30078125,competence,,random,041,denoised
steering,competence,high_competence_t097_s00198,97,high_competence,1,random_041,0.05,-3.8515625,-23.9140625,competence,,random,041,denoised
steering,competence,low_competence_t019_s00007,19,low_competence,0,random_041,0.05,-12.09375,11.03125,competence,,random,041,denoised
steering,competence,low_competence_t003_s00031,3,low_competence,0,random_041,0.05,-11.8125,10.1875,competence,,random,041,denoised
steering,competence,low_competence_t008_s00051,8,low_competence,0,random_041,0.05,-11.46875,11.21875,competence,,random,041,denoised
steering,competence,low_competence_t035_s00095,35,low_competence,0,random_041,0.05,-13.4375,7.5625,competence,,random,041,denoised
steering,competence,low_competence_t056_s00131,56,low_competence,0,random_041,0.05,-15.90625,6.28125,competence,,random,041,denoised
steering,competence,low_competence_t057_s00135,57,low_competence,0,random_041,0.05,-11.453125,10.171875,competence,,random,041,denoised
steering,competence,low_competence_t066_s00143,66,low_competence,0,random_041,0.05,-12.09375,9.375,competence,,random,041,denoised
steering,competence,low_competence_t078_s00167,78,low_competence,0,random_041,0.05,-13.34375,7.40625,competence,,random,041,denoised
steering,competence,low_competence_t079_s00171,79,low_competence,0,random_041,0.05,-11.6875,10.0,competence,,random,041,denoised
steering,competence,low_competence_t097_s00199,97,low_competence,0,random_041,0.05,-11.875,9.75,competence,,random,041,denoised
steering,competence,high_competence_t019_s00006,19,high_competence,1,random_041,0.1,-7.78125,-29.28125,competence,,random,041,denoised
steering,competence,high_competence_t003_s00030,3,high_competence,1,random_041,0.1,-6.125,-27.5625,competence,,random,041,denoised
steering,competence,high_competence_t008_s00050,8,high_competence,1,random_041,0.1,-5.78125,-26.40625,competence,,random,041,denoised
steering,competence,high_competence_t035_s00094,35,high_competence,1,random_041,0.1,-5.21875,-26.21875,competence,,random,041,denoised
steering,competence,high_competence_t056_s00130,56,high_competence,1,random_041,0.1,-5.40625,-25.90625,competence,,random,041,denoised
steering,competence,high_competence_t057_s00134,57,high_competence,1,random_041,0.1,-6.15625,-27.84375,competence,,random,041,denoised
steering,competence,high_competence_t066_s00142,66,high_competence,1,random_041,0.1,-4.75,-25.5625,competence,,random,041,denoised
steering,competence,high_competence_t078_s00166,78,high_competence,1,random_041,0.1,-3.46875,-24.65625,competence,,random,041,denoised
steering,competence,high_competence_t079_s00170,79,high_competence,1,random_041,0.1,-5.53125,-26.96875,competence,,random,041,denoised
steering,competence,high_competence_t097_s00198,97,high_competence,1,random_041,0.1,-3.515625,-23.578125,competence,,random,041,denoised
steering,competence,low_competence_t019_s00007,19,low_competence,0,random_041,0.1,-4.875,18.25,competence,,random,041,denoised
steering,competence,low_competence_t003_s00031,3,low_competence,0,random_041,0.1,-4.96875,17.03125,competence,,random,041,denoised
steering,competence,low_competence_t008_s00051,8,low_competence,0,random_041,0.1,-4.03125,18.65625,competence,,random,041,denoised
steering,competence,low_competence_t035_s00095,35,low_competence,0,random_041,0.1,-6.8056640625,14.1943359375,competence,,random,041,denoised
steering,competence,low_competence_t056_s00131,56,low_competence,0,random_041,0.1,-10.015625,12.171875,competence,,random,041,denoised
steering,competence,low_competence_t057_s00135,57,low_competence,0,random_041,0.1,-6.6640625,14.9609375,competence,,random,041,denoised
